Plant,Scientific Name,Disease,Compound,Region,Description,Plant,Scientific Name,Disease,Compound,Region,Description,Plant,Scientific Name,Disease,Compound,Plant,Scientific Name
Neem,Azadirachta indica,Skin Disease,Azadirachtin,India,Used for skin infections and antibacterial treatment,Neem,Azadirachta indica,Skin Disease,Azadirachtin,India,Used for skin infections and antibacterial treatment,Neem,Azadirachta indica,Skin Disease,Azadirachtin,Neem,Azadirachta indica
Tulsi,Ocimum sanctum,Cold,Eugenol,India,Boosts immunity and treats respiratory disorders,Tulsi,Ocimum sanctum,Cold,Eugenol,India,Boosts immunity and treats respiratory disorders,Tulsi,Ocimum sanctum,Cold,Eugenol,Tulsi,Ocimum sanctum
Aloe Vera,Aloe barbadensis miller,Skin Disease,Aloin,Global,Used for burns and skin healing,Aloe Vera,Aloe barbadensis miller,Skin Disease,Aloin,Global,Used for burns and skin healing,Aloe Vera,Aloe barbadensis miller,Skin Disease,Aloin,Aloe Vera,Aloe barbadensis miller
Turmeric,Curcuma longa,Inflammation,Curcumin,India,Anti-inflammatory and antioxidant,Turmeric,Curcuma longa,Inflammation,Curcumin,India,Anti-inflammatory and antioxidant,Turmeric,Curcuma longa,Inflammation,Curcumin,Turmeric,Curcuma longa
Ginger,Zingiber officinale,Nausea,Gingerol,Asia,Used for digestion and nausea relief,Ginger,Zingiber officinale,Nausea,Gingerol,Asia,Used for digestion and nausea relief,Ginger,Zingiber officinale,Nausea,Gingerol,Ginger,Zingiber officinale
Garlic,Allium sativum,Heart Disease,Allicin,Global,Reduces cholesterol and blood pressure,Garlic,Allium sativum,Heart Disease,Allicin,Global,Reduces cholesterol and blood pressure,Garlic,Allium sativum,Heart Disease,Allicin,Garlic,Allium sativum
Ashwagandha,Withania somnifera,Stress,Withanolides,India,Adaptogen that reduces stress,Ashwagandha,Withania somnifera,Stress,Withanolides,India,Adaptogen that reduces stress,Ashwagandha,Withania somnifera,Stress,Withanolides,Ashwagandha,Withania somnifera
Peppermint,Mentha piperita,Indigestion,Menthol,Europe,Relieves digestive issues,Peppermint,Mentha piperita,Indigestion,Menthol,Europe,Relieves digestive issues,Peppermint,Mentha piperita,Indigestion,Menthol,Peppermint,Mentha piperita
Clove,Syzygium aromaticum,Toothache,Eugenol,Asia,Pain relief and antiseptic,Clove,Syzygium aromaticum,Toothache,Eugenol,Asia,Pain relief and antiseptic,Clove,Syzygium aromaticum,Toothache,Eugenol,Clove,Syzygium aromaticum
Cinnamon,Cinnamomum verum,Diabetes,Cinnamaldehyde,Asia,Helps regulate blood sugar,Cinnamon,Cinnamomum verum,Diabetes,Cinnamaldehyde,Asia,Helps regulate blood sugar,Cinnamon,Cinnamomum verum,Diabetes,Cinnamaldehyde,Cinnamon,Cinnamomum verum
Giloy,Tinospora cordifolia,Fever,Tinosporin,India,Boosts immunity and treats fever,Giloy,Tinospora cordifolia,Fever,Tinosporin,India,Boosts immunity and treats fever,Giloy,Tinospora cordifolia,Fever,Tinosporin,Giloy,Tinospora cordifolia
Eucalyptus,Eucalyptus globulus,Cold,Eucalyptol,Australia,Used for respiratory relief,Eucalyptus,Eucalyptus globulus,Cold,Eucalyptol,Australia,Used for respiratory relief,Eucalyptus,Eucalyptus globulus,Cold,Eucalyptol,Eucalyptus,Eucalyptus globulus
